Name;Type;Material;Thickness[mm];Constant
F.Mask;Top Solder Mask;;0.01;
F.Cu;copper;;0.018;
dielectric 1;prepreg;FR4;0.11;4.3
In1.Cu;copper;;0.018;
dielectric 2;core;FR4;0.4;4.3
In2.Cu;copper;;0.018;
dielectric 3;prepreg;FR4;0.11;4.3
In3.Cu;copper;;0.018;
dielectric 4;core;FR4;0.4;4.3
In4.Cu;copper;;0.018;
dielectric 5;prepreg;FR4;0.11;4.3
B.Cu;copper;;0.018;
B.Mask;Bottom Solder Mask;;0.01;
